organization,collaborative_within,n
Non-government Agency,Sometimes,2
Non-government Agency,About half the time,7
Non-government Agency,Most of the time,23
Non-government Agency,Always,12
Non-government Agency,Never,0
Provincial/Territorial Government,Sometimes,6
Provincial/Territorial Government,About half the time,7
Provincial/Territorial Government,Most of the time,15
Provincial/Territorial Government,Always,2
Provincial/Territorial Government,Never,0
Federal Government,Sometimes,3
Federal Government,About half the time,2
Federal Government,Most of the time,20
Federal Government,Always,5
Federal Government,Never,0
Conservation authority,Sometimes,3
Conservation authority,About half the time,4
Conservation authority,Most of the time,7
Conservation authority,Always,8
Conservation authority,Never,0
Industry/private company,Sometimes,1
Industry/private company,Most of the time,6
Industry/private company,Always,2
Industry/private company,Never,0
